ds,holiday,country,year
2008-02-18,Family Day,Canada,2008
2008-03-21,Good Friday,Canada,2008
2008-05-19,Victoria Day,Canada,2008
2008-07-01,Canada Day,Canada,2008
2008-08-04,Civic Holiday,Canada,2008
2008-09-01,Labour Day,Canada,2008
2008-10-13,Thanksgiving,Canada,2008
2008-12-25,Christmas Day,Canada,2008
2008-12-26,Boxing Day,Canada,2008
2009-01-01,New Year's Day,Canada,2009
2009-02-16,Family Day,Canada,2009
2009-04-10,Good Friday,Canada,2009
2009-05-18,Victoria Day,Canada,2009
2009-07-01,Canada Day,Canada,2009
2009-08-03,Civic Holiday,Canada,2009
2009-09-07,Labour Day,Canada,2009
2009-10-12,Thanksgiving,Canada,2009
2009-12-25,Christmas Day,Canada,2009
2009-12-28,Boxing Day (Observed),Canada,2009
2010-01-01,New Year's Day,Canada,2010
2010-02-15,Family Day,Canada,2010
2010-04-02,Good Friday,Canada,2010
2010-05-24,Victoria Day,Canada,2010
2010-07-01,Canada Day,Canada,2010
2010-08-02,Civic Holiday,Canada,2010
2010-09-06,Labour Day,Canada,2010
2010-10-11,Thanksgiving,Canada,2010
2010-12-24,Christmas Day (Observed),Canada,2010
2010-12-25,Christmas Day,Canada,2010
2010-12-27,Boxing Day (Observed),Canada,2010
2010-12-31,New Year's Day (Observed),Canada,2010
2011-01-01,New Year's Day,Canada,2011
2011-02-21,Family Day,Canada,2011
2011-04-22,Good Friday,Canada,2011
2011-05-23,Victoria Day,Canada,2011
2011-07-01,Canada Day,Canada,2011
2011-08-01,Civic Holiday,Canada,2011
2011-09-05,Labour Day,Canada,2011
2011-10-10,Thanksgiving,Canada,2011
2011-12-25,Christmas Day,Canada,2011
2011-12-26,Christmas Day (Observed),Canada,2011
2011-12-27,Boxing Day (Observed),Canada,2011
2012-01-01,New Year's Day,Canada,2012
2012-01-02,New Year's Day (Observed),Canada,2012
2012-02-20,Family Day,Canada,2012
2012-04-06,Good Friday,Canada,2012
2012-05-21,Victoria Day,Canada,2012
2012-07-01,Canada Day,Canada,2012
2012-07-02,Canada Day (Observed),Canada,2012
2012-08-06,Civic Holiday,Canada,2012
2012-09-03,Labour Day,Canada,2012
2012-10-08,Thanksgiving,Canada,2012
